I: 道:134452751 说:314097896 那:417646681 
Sit: 栏:3218 诽谤:5020 诽:5020 

Sir: 斧:876 诽谤:11668 诽:11668 

Safety: 斧:697 诽谤:3577 诽:3577 

Revered: 驼:5394 骆:5691 斧:9495 

Raven: 乌鸦:35 鸦:35 斧:10325 

Publis: 斧:1631 诽谤:15947 诽:15947 

Public: 斧:698 诽谤:3578 诽:3578 

Power: 斧:4033 诽谤:21161 诽:21161 

Plan: 诽谤:3576 诽:3576 斧:3813 

Part: 泪:5233 斧:9972 诽谤:15776 

PART: 斧:2655 诽谤:7211 诽:7211 

P: 诽谤:6234 诽:6234 斧:9164 

Order: 斧:1753 诽谤:11558 诽:11558 

Most: 诽谤:12042 诽:12042 斧:12452 

Lieutenant: 斧:7810 骆:14019 驼:14188 

Jump: 斧:959 诽谤:6739 诽:6739 

Isaac: 骆:2218 驼:2411 耿:8242 

Hugh: 斧:2404 诽谤:10272 诽:10272 

Hm: 斧:4117 诽谤:13942 诽:13942 

Her: 诽谤:3988 诽:3988 斧:5086 

Has: 斧:3104 诽谤:4805 诽:4805 

Hall: 诽谤:6151 诽:6151 斧:8152 

Hahdin: 斧:6862 驼:14692 骆:14712 

Everyone: 斧:1021 诽谤:10582 诽:10582 

Each: 斧:696 诽谤:11745 诽:11745 

Crast: 亭:1045 鲁亭:1045 诽谤:8952 

Could: 斧:8144 诽谤:19499 诽:19499 

Commissioners: 币:11380 斧:13909 诽谤:14386 

Any: 斧:1556 诽谤:10863 诽:10863 

Anselm: 诽谤:12914 诽:12914 斧:13271 

Again: 诽谤:12108 诽:12108 斧:12752 

About: 斧:4104 诽谤:12136 诽:12136 

Yate: 紫:99 锡:111 缰绳:2803 

Wiscard: 档:21 窟:213 翅:317 

Violence: 妻:3 镭:55 紫:250 

Tribes: 窟:72 紫:330 翅:723 

Through: 紫:30 缰绳:1657 缰:1657 

Synnax: 锡:5 紫:78 驼骆:264 

Stop: 钩:17 徐:73 紫:194 

Speak: 紫:288 徐:397 佩:405 

Soldiers: 恤:1 梭:2021 窟:2629 

Slowly: 妻:254 紫:367 鞍:635 

Sef: 紫:199 槌:1007 佩:1163 

Science: 窟:240 紫:287 佩:394 

Republic: 佩:278 紫:282 槌:408 

Remember: 妻:33 紫:297 鞍:397 

Red: 紫:749 窟:1475 鞍:2301 

Prince: 劾:7 翅:88 窟:105 

Piwenne: 鞍:39 缰绳:81 缰:81 

Naturally: 紫:513 妻:1198 鞍:1215 

Little: 槌:3 佩:24 驼骆:36 

Lewis: 妻:5 镭:116 鞍:245 

Lameth: 紫:14 窟:80 缰绳:216 

Korellians: 锡:14 紫:76 莲:344 

Imperium: 紫:286 佩:367 郝弥勒:471 

IV: 耙:5 恤:518 窟:2783 

II: 钩:7 徐:35 紫:53 

High: 峙:946 郝弥勒:1218 郝:1218 

Forget: 歌:7 紫:36 缰绳:73 

Eskel: 妻:114 鞍:129 紫:199 

Era: 钸:6 钩:9 踩:40 

Either: 紫:882 窟:1150 鞍:2967 

Doctah: 鞍:39 缰绳:80 缰:80 

Convention: 窟:1135 翅:3017 紫:3694 

Consequently: 郝弥勒:586 郝:586 窟:2221 

Call: 徐:0 吁:4 掂:5 

Beloved: 锡:74 紫:95 驼骆:1270 

August: 窟:311 歌:347 侄:600 

Argo: 紫:26 缰绳:122 缰:122 

Also: 窟:671 翅:1583 紫:3315 

