Cate	Senti	微博原始内容
product	p	要因为士力架里面有大量坚果仁就把坚果与高热量划等号，其实正确食用坚果是能够帮助你减肥的哦！坚果含有丰富的蛋白质、纤维素和大量的微量元素，并且非常容易有饱腹感。早上10点和下午3点两个能量低点时候食用适量的坚果，既能解决你的饥饿感，又能补充能量，最重要的是，还不会长胖哦！
purchae	p	状态快回来！！！要不要来块士力架！！
product	p	#论饿货球迷奇葩事#荷甲、英超、世界杯！咬遍天下无敌手的苏牙最后一次没有咬成功，大概是想起场下有更解饿的士力架在等他！[偷笑]http://t.cn/RvFrLe5  http://t.cn/RhGhlYu 
fist	p	#嘉禾轻松时刻#士力架的广告已经彻底被你们玩儿坏了，这只《爱杀宝贝》版绝对是继东方版饿货拳之后有一神经病力作，BGM太魔性我已经无法控制自己了，动词大慈~动词大慈~   http://t.cn/RhUNTds
brand	p	石头哥哥的逆袭生涯 ，其实真不怕队友坑 只怕他坑还觉得自己是大神 逆天的石头人 带领4个二货队友强吃士力架 逆天翻盘局~~~~哈哈
product	p	要因为士力架里面有大量坚果仁就把坚果与高热量划等号，其实正确食用坚果是能够帮助你减肥的哦！坚果含有丰富的蛋白质、纤维素和大量的微量元素，并且非常容易有饱腹感。早上10点和下午3点两个能量低点时候食用适量的坚果，既能解决你的饥饿感，又能补充能量，最重要的是，还不会长胖哦！
purchase	p	又六点起！感觉我浑身充满能量，要喷火~快给我来根士力架！[哈哈][哈哈][哈哈]
fist	p	简直厉害 //@我的朋友是个呆B:已经忘了原词儿是啥了 [拜拜]，士力架的广告也是蛮拼的 //@我爱的人他姓大:噗 哈哈哈
big wei	p	吃了士力架的张伟
brand	nu	為毛我想起了士力架→_→//@矢泽便当:[悼念乔布斯]霸王广告是这么说的，首乌 人参 焦糖 巧克力//@隐鳖青年卡尔马: 心疼。
purchase	p	又六点起！感觉我浑身充满能量，要喷火~快给我来根士力架！[哈哈][哈哈][哈哈]
purchase	p	晚安一直爱你  好梦。明早吃饱饱了 买点士力架
product	p	要因为士力架里面有大量坚果仁就把坚果与高热量划等号，其实正确食用坚果是能够帮助你减肥的哦！坚果含有丰富的蛋白质、纤维素和大量的微量元素，并且非常容易有饱腹感。早上10点和下午3点两个能量低点时候食用适量的坚果，既能解决你的饥饿感，又能补充能量，最重要的是，还不会长胖哦！
brand	p	这是士力架吧， //@村长不是坑哟:@妄想却不行动的黄新雨同学     这个
brand	nu	不同国家的#士力架#
brand	p	哈哈哈哈最后一个可以去拍士力架//@美图秀秀: 哈哈哈，看到最后一个美老师也是醉了！[嘻嘻]
purchase	p	又六点起！感觉我浑身充满能量，要喷火~快给我来根士力架！[哈哈][哈哈][哈哈]
purchase	p	又六点起！感觉我浑身充满能量，要喷火~快给我来根士力架！[哈哈][哈哈][哈哈]
fist funny	p	哈哈哈哈哈哈哈 #憨豆饿货拳# （分享自 @搜狐视频） http://t.cn/RPWfKpd 
other	nu	第二张好像狗哈哈哈哈//@脱饭才是出路_夹子囧囧:2货！来个士力架吧！[噢耶]
purchase	p	快来条士力架吧
product	p	要因为士力架里面有大量坚果仁就把坚果与高热量划等号，其实正确食用坚果是能够帮助你减肥的哦！坚果含有丰富的蛋白质、纤维素和大量的微量元素，并且非常容易有饱腹感。早上10点和下午3点两个能量低点时候食用适量的坚果，既能解决你的饥饿感，又能补充能量，最重要的是，还不会长胖哦！
product	p	饿货，来条士力架吧！一饿就手软
product	ne	吃了一整条士力架居然没有觉得甜的腻人，味觉错乱了！！！
brand	nu	榨菜不错//@逸逸风风: 我们祝福都没有[泪] //@猴山CEO:@周小lui儿 真的呀？ //@北京人捍卫北京城:＂你怎么连门都守不住？＂＂你行你来呀！＂＂饿货，来条士力架！＂
product	p	要因为士力架里面有大量坚果仁就把坚果与高热量划等号，其实正确食用坚果是能够帮助你减肥的哦！坚果含有丰富的蛋白质、纤维素和大量的微量元素，并且非常容易有饱腹感。早上10点和下午3点两个能量低点时候食用适量的坚果，既能解决你的饥饿感，又能补充能量，最重要的是，还不会长胖哦！
fist	nu	#憨豆饿货拳#都可以比划这个抗议  http://t.cn/RPD90qi
fist	nu	【视频：憨豆饿货拳】 （分享自 @优酷） http://t.cn/RPQ7lUw 
purchase	p	又六点起！感觉我浑身充满能量，要喷火~快给我来根士力架！[哈哈][哈哈][哈哈]
product	p	@少侠你的刀磨好了 来根士力架吧！
purchase	p	又六点起！感觉我浑身充满能量，要喷火~快给我来根士力架！[哈哈][哈哈][哈哈]
brand	p	 //@痴汉虫子不爬墙:士力架，横扫饥饿；双下巴，横扫天下！(••)//@我素真爱鹿:转发微博
product	p	你妈肯定忘了给你吃一块士力架……[哈哈]
tf	ne	哈哈哈[拜拜][拜拜][拜拜]//@沉城城:这个好棒_(:」)_//@大大大大大大雄卷: 哈哈哈，士力架不考虑下大哥么！
fist	p	//@士力架中国:大张伟真的模仿了#憨豆饿货拳#！已经被饿货拳的舞蹈版洗脑了！听了《倍儿饿》后也完全忘记了原曲怎么唱，饿货们也有属于自己的神曲了！
product	nu	终于不用出差了(暂时)，这两月东南西北到处跑，嗮的跟条士力架一样。心塞。。 9月目标： 1.驾照 2.小樱、小叶子的粘土2套图 3.送自己生日礼物-剑雪一家~还有呆呆没有正规拍过那套白色的明信片 4.FF14猫猫，J3唐门，萨满画 5.准备10.1的漫展，我这阿姨级别的要不要去COS一把呢 6.看一下普妹和SOOM家ID
product	ne	终于试了一块士力架，齁甜。真不明白为什么各大超市交钱的地方都摆这个。
brand	nu	突然想到了士力架的广告，脉动这个更狠
product	p	虽然不赞同，但是仍帮你买好车票，准备好矿泉水士力架纸巾和药，并把你送到车站 ，嘱咐一番像你从未出过门，这个人就是老公。 http://t.cn/Rh4NRKv
product	ne	哈哈，在你那儿连续4天吃巧克力和士力架终于涨了1.6斤。90斤加油[哈哈][哈哈]PS.凌晨突然醒来好想你给你发了一大堆消息。[泪] http://t.cn/Rh407LE
product	nu	看到你上课撑着撑着不睡觉，看到了你想看大学的决心，晚自习认真写作业，真的为你高兴，士力架都快吃完了，想拿它找你搭话，却迟迟不敢，怕你不理我，怕你。。。。。。
purchase	p	又六点起！感觉我浑身充满能量，要喷火~快给我来根士力架！[哈哈][哈哈][哈哈]
product	p	#中秋#节快到了啊，德芙百威士力架，海苔饼干上好佳。[爱你][爱你][爱你]不求最贵但求吃到累。 该送就送，不要不好意思啦，拯救我这颗饿脱了相的可怜心灵吧[悲伤][悲伤][悲伤] http://t.cn/z8236ZN
fist	p	#互动案例#@士力架中国 饿货憨豆拳 活动网站
product	nu	午饭：红烧鱼，长杠头，米饭一些，三个红烧鸭爪，一块健达缤纷乐，一块士力架，
brand	p	宝贝，来条士力架吧[马上有对象][马上有对象][马上有对象][马上有对象]
purchase	p	买了两块士力架[偷笑]@L_X_D9
brand	p	妹妹，你需要士力架吗？碗的分量真的好凸显哟，笑死我了北鼻[笑cry][笑cry][笑cry]
product	p	Day 4横扫饥饿的不止是士力架还有素毛肚～@挂在墙上的小红帽 
purchase	p	又六点起！感觉我浑身充满能量，要喷火~快给我来根士力架！[哈哈][哈哈][哈哈]
purchase	p	又六点起！感觉我浑身充满能量，要喷火~快给我来根士力架！[哈哈][哈哈][哈哈]
product	ne	吃了两条士力架 还是肚子饿 之后吃了鸡腿  还附带西瓜 终于能睡觉了 [嘻嘻]
brand	p	#最FUN生活# 拿什么拯救这疯狂的士力架，嗷...嗷嗷嗷.......
brand	p	饿货，来条士力架吧！@金大左 @_刘某人_ @W_Peppemint 
tf	p	//@王俊凯呗: //@雏鹰凯:#王俊凯遇上士力架能量无限大# #王俊凯# 像极了最纯情的青春电影镜头，宝宝天生为大荧幕而生的！//@一堆卷子:#王俊凯# 可可女神高清来了！！！天啊想和哥哥一起躲雨！！！！[泪流满面][泪流满面][泪流满面]
other	nu	韩国进口食品[好爱哦][好爱哦]x5韩国士力架，比国产强多了[好棒][好棒][好棒]不会甜死～五层口感，中间还有夹心！！！正点～8元一根 http://t.cn/RPeJx0Q
fist	p	大爷士力架不会是定情信物吧，呵呵
fist	p	大爷士力架不会是定情信物吧，呵呵
tf	p	[害羞]士力架 //@TF天涯姐姐团:代言看过来[来] //@玨玺共和国秘书掌:给三个儿子艹代言。//@逢飞必手癌的元芳阿姨_TF老年团: 代言给我看过来！！上热门其他代言看过来也行啊！求有眼力的企宣！//@士力架中国: 小伙子赶通告也是挺心疼的，还好吃了士力架，妈妈再也不用担心小凯的体力了~
fist	p	憨豆饿货拳什么的都能轻松hold住
product	p	俺领略了，士力架，那提神杠杠的
brand	p	士力架让这个音乐给包装的啊
fist	p	#憨豆饿货拳#唯有士力架  http://t.cn/RPD90qi
purchase	p	又六点起！感觉我浑身充满能量，要喷火~快给我来根士力架！[哈哈][哈哈][哈哈]
fist	p	神舞饿货拳成中国大妈新宠 呵呵
brand	p	士力架养大妈啊，不错[爱你]
brand	p	士力架一定会给我们最特别的感受的
other	nu	厨子是我嘛  [求关注]  @士力架少女  子燕是理发师 @宋肖婷_VVan 肖婷是化妆师   哈哈 http://t.cn/Rh42IUk
brand	p	这个新鲜的消息是真的啊，大妈喜欢士力架
product	p	你多送士力架，什么也搞定了
brand	p	感谢士力架， 给我们最好的感觉的
fist	p	满意，满士力架神曲我也中毒了[亲亲]
brand	p	士力架神奇啊是你牛逼， [群体围观]
fist	p	呵呵，跟着士力架的《倍儿饿》
brand	nu	呵呵都怪士力架的神经病视频
fist	nu	大爷啊这个干吗啊，送大妈士力架了啊
brand	p	看看这个影响力， 还士力架了不起的
brand	p	毋庸置疑士力架是最诱惑的[亲亲]
brand	p	俺知道，最好的办法就是有士力架
product	p	我看保安把这个士力架都吃了吧，呵呵
fist learn	p	跳起了#憨豆饿货拳#版的广场舞，还真给力
brand	p	回复@王君小样儿:来块士力架～[偷笑]//@王君小样儿:回复@熊不乖ing:待会去哭。。。物流打电话来了。。。一件46箱子 一件36箱子 一件4箱子 让我6点过去扛。。。//@王君小样儿:MCM上个月~~~另外一个去年这时候哈哈哈
product	p	你叉叉，士力架就能填饱肚子了的哦[太开心]
brand	p	这个新鲜的消息是真的啊，大妈喜欢士力架
brand	p	给女朋友吃士力架，真好
fist	nu	大学生难耐饥饿，食堂跳起饿货拳奇葩
fist	p	恩，现在这个士力架的神曲真的独领风骚了
brand	p	不是吧，牛叉叉的感觉，也只有士力架了
product	p	我现在都流口水了---士力架好啊 [群体围观]
product	ne	饿了你吃士力架不行啊
fist	p	士力架神曲的诱惑，那是大大滴，呵呵
brand	p	我爱士力架这个毋庸置疑
dance	nu	伴着士力架最新神曲《倍儿饿》，看大妈风采吧
fist	nu	大学生难耐饥饿，食堂跳起饿货拳奇葩
brand	p	士力架养大妈啊，不错[爱你]
product	p	饿货来条--士力架或者你的能量超乎你想象--红牛维生素功能性饮料。搬家很辛苦哎
brand	p	士力架彰显霸王享受[爱你]
brand	p	大妈对士力架看看这一对一对的，呵呵
brand	p	士力架的影响力还是真大啊
brand	p	士力架真是拼啊 ..
product	p	那滴随时给她们准o备士力架
product	p	看这个士力架真的很好吃的
brand	p	士力架的影响力还是真大啊
fist	p	[群体围观]|爱杀宝贝ed版饿货拳 厉害
dance	p	大妈对士力架看看这一对一对的，呵呵
dance	p	大妈坚持，有士力架那，呵呵
product	p	横扫饥饿，来个士力架吧，饿啊[泪]
dance	p	士力架的广告已经彻底被你}们玩儿坏了
dance	p	士力架是要掀起狂风巨浪吗[群体围观]
brand	p	我看这个士力架比㈱大妈带劲
other	nu	#天猫猜猜猜#饿货，赶紧来一条士力架
dance	p	恩，跳广场舞要吃士力架
brand	p	我看这个士力架比大妈带劲
purchase	p	[泪]明天也去买士力架[泪]
brand	p	士力架彰显霸王享受[爱你]
product	ne	韩国巧克力这个太好吃了[害羞]吃了这个士力架可以一边去了[偷笑]哈哈！花生夹心朱古力棒！口感和士力架好像！但是味道比士力架好太多了花生多！中间的那个酥好脆！肚子饿的时候来一根！慢慢的能量哈哈哈！一口气吃完
product	p	哇啊啊看到你们吃士力架我也饿了这是为什么。。。。。。
brand	p	饿货 
fist	p	#憨豆饿货拳#饿货，来条士力架吧！@士力架中国 →_→欲废饿货拳，唯有士力架。
product	p	不是吃士力架么？
product	nu	图书馆的清洁大妈连人家放在桌子上的士力架也要偷走，果然摆个凳子都像发泄一辈子怨气的清洁大妈们不好惹，hui，想想我这三年在学校没少给清洁大妈贡献啊@defends
fist funny	p	#憨豆饿货拳#这个广告看完真心笑了…… http://t.cn/RPDQK6t
funny	p	[哈哈][哈哈][哈哈]饿货，来根士力架，@大熊大熊大熊君 
brand	p	我刚看到士力架的广告，才知道为什么是憨豆先生还有那个～因为他们的左脸鼻子边上都有一个痣[带着微博去旅行][带着微博去旅行]@为你倾舞一世 http://t.cn/RhyvCgE
fist	p	天空飘来五个字 士力架在这
product	p	要因为士力架里面有大量坚果仁就把坚果与高热量划等号，其实正确食用坚果是能够帮助你减肥的哦！坚果含有丰富的蛋白质、纤维素和大量的微量元素，并且非常容易有饱腹感。早上10点和下午3点两个能量低点时候食用适量的坚果，既能解决你的饥饿感，又能补充能量，最重要的是，还不会长胖哦！
fist funny	p	哈哈哈哈哈哈哈哈哈好好玩啊。。士力架植入广告吗。。食堂大妈都惊呆了~~PS：领舞的妹纸萌萌哒~
purchase	p	又六点起！感觉我浑身充满能量，要喷火~快给我来根士力架！[哈哈][哈哈][哈哈]
brand	nu	前几天看到憨豆先生上了士力架的广告。
fist	p	天上飘来五个字儿 士力架在这，
brand	ne	士力架给了你们多少钱
brand	nu	//@劲劲XDDDD小韵韵: 看完了嗷嗷[拜拜][拜拜]最后图好可怕，其实说到底是做了亏心事害怕才这样。顺便可以做士力架广告！Zzan!!//@劲劲XDDDD小韵韵:嗷嗷没看下去
fist funny	p	为了模仿士力架#憨豆饿货拳#，这五个姐姐也是蛮拼的！全程都忍不出看着右一的姐姐偷笑，还有第15秒有亮点 ~ http://t.cn/RPjZRer
fist	ne	傻逼 #憨豆饿货拳#//@允堂圣旨: 有感觉.写.
fist bean	p	原来有憨豆先生的士力架的广告就是憨豆先生的新电影片段！！[鼓掌]久等你了憨豆先生[爱你]
brand	nu	这四位发球够士力架[偷笑] 表扬下
product	p	真的好饿啊，原来公司附近是没有流动式卖早餐的，然后捣鼓电脑到现在就已经消耗N多体力了，看到坐对面小哥吃剩下的酱香饼和士力架，我真的好想问他要一点，可是我跟他不熟诶...现在他出去跑工地了，我的眼睛直勾勾的盯着他桌子上的早饭，即使中间隔着一层办公隔板，似乎完全阻碍不了我饥饿的视线啊[泪]
product	p	士力架，德芙，麦丽素。装了满满一小包。补充能量从我做起。[嘻嘻]
brand	nu	我說呢士力架的廣告看到憨豆原來是拍電影啦( •_•)
product	p	要因为士力架里面有大量坚果仁就把坚果与高热量划等号，其实正确食用坚果是能够帮助你减肥的哦！坚果含有丰富的蛋白质、纤维素和大量的微量元素，并且非常容易有饱腹感。早上10点和下午3点两个能量低点时候食用适量的坚果，既能解决你的饥饿感，又能补充能量，最重要的是，还不会长胖哦！
product	ne	小北君太努力了，给小北君点32个赞，太甩。坐着连线稿到上色3个小时（所以一定是渣画）差点没有晕在画板上（赶紧来个士力架，啊，甜到腻）又开始狂咳嗽，每一下胸口都巨疼，憋气憋的连靠都靠不下了，坐着趴在我马子上（氧气已最大，嗑两个地高辛（希望能毒死我）啊！不想活了[生病]
brand	ne	[崩溃][崩溃][崩溃]每次看到士力架的广告，总觉得广告词是这样子的。二货，来根智力下吧。 http://t.cn/RhUNtHW
other	nu	德芙士力架 花生夹心巧克力 家庭装 全家桶 460ghttp://t.cn/RhUqjnv（分享自 @微店 http://t.cn/8kD2fJZ）
product	p	吃了士力架喝点红糖水 血槽总算恢复了点 啊~下辈子 我要做一个统治宇宙的男银[委屈]
purchase	p	又六点起！感觉我浑身充满能量，要喷火~快给我来根士力架！[哈哈][哈哈][哈哈]
product	p	饿货，来条士力架，变回自己[偷笑][偷笑][偷笑]
product	ne	有一种人，总是把不开心锁在今天皱起的眉头里。却默默的希望明天会变得好些。这样的感觉就像吃士力架一样，让人甜的恶心却没有体力回复。  然而有时我也是这样 http://t.cn/Rhygp1c
brand	nu	人类已经无法阻止士力架了[汗]
product	p	我爱巧克力，我爱奥利奥，我爱士力架，我爱。。。曾经这都是我讨厌吃的，直到我爱上甜食
brand	p	士力架广告越来越有创意嘛[哈哈]
brand	p	饿货来条士力架吧//@司马谈史: //@寒霜之刃:Mr Bean 并非傻，而是不同的思维方式。。。。
brand	p	今天看到了士力架的广告//@心灵阅者:曾经为他笑过的同学高调转走吧！
product	p	来条士力架吧这货@妄肆vvvvv 
purchase	p	又六点起！感觉我浑身充满能量，要喷火~快给我来根士力架！[哈哈][哈哈][哈哈]
product	p	士力架在我的生活无处不在了，求好办法戒掉他[闭嘴][闭嘴] http://t.cn/RhyZ0fe
other	nu	#天猫猜猜猜#饿货，赶紧来一条士力架
brand	p	早！上！好！  [拜拜][拜拜][拜拜]来条士力架吧 ~[挤眼][挤眼]
other	nu	#天猫猜猜猜#饿货，赶紧来一条士力架
fist learn	p	//@正常人办不出这种事儿: 卧槽，这个憨豆饿货拳好牛逼，赶紧学会了，占领广场！
other	nu	#天猫猜猜猜#饿货，赶紧来一条士力架~[偷笑]继续积极支持@天猫 带来的给力活动，嗲，期待RP爆发！！
fist	nu	#饿货的《倍儿饿》#憨豆先生的饿货拳之后士力架推出病毒视频《倍儿饿》。创意是好还是二？http://t.cn/Rh2BzFC
other	nu	@一条士力架 你黑白的时候说不定对面就是个得道高僧[哈哈]
brand	p	回复@蒙奇奇雪儿snow:好呀！[花心][花心][花心]//@蒙奇奇雪儿snow:吃货！来条士力架吧！[哈哈][哈哈]//@H琳琳思密达:我要吃！！！[花心][花心][花心] //@双鱼座-心理学:韩国最近很火的彩虹蛋糕卷[耶]@韩国潮流精选 
product	p	要因为士力架里面有大量坚果仁就把坚果与高热量划等号，其实正确食用坚果是能够帮助你减肥的哦！坚果含有丰富的蛋白质、纤维素和大量的微量元素，并且非常容易有饱腹感。早上10点和下午3点两个能量低点时候食用适量的坚果，既能解决你的饥饿感，又能补充能量，最重要的是，还不会长胖哦！
purchase	p	又六点起！感觉我浑身充满能量，要喷火~快给我来根士力架！[哈哈][哈哈][哈哈]
product	p	哈哈哈哈 来条士力架吧
product	p	要因为士力架里面有大量坚果仁就把坚果与高热量划等号，其实正确食用坚果是能够帮助你减肥的哦！坚果含有丰富的蛋白质、纤维素和大量的微量元素，并且非常容易有饱腹感。早上10点和下午3点两个能量低点时候食用适量的坚果，既能解决你的饥饿感，又能补充能量，最重要的是，还不会长胖哦！
fist	p	#憨豆饿货拳# 士力架我爱  http://t.cn/RPD90qi
fist	p	憨豆的饿货拳火了。
purchase	p	横扫饥饿，能不能给我来条士力架～
tf	nu	#开学第一课##王俊凯921生日快乐##王俊凯遇上士力架能量无限大##又见TFBOYS##十年一起走###十年一起走# 开学加油开学努力！
brand	p	为爱出发，这也离不开士力架的支持
product	nu	两块饼干，半条士力架 @车站，居然还是迟到了[悲伤]
brand	p	饿货，快来条士力架[good][good][good]//@陈阿然_:魅力//@彭莱来:转发微博
fist	p	[哈哈]吃了士力架，饿货拳武功不就被全废了
brand	p	爱上士力架，雄起[黑线]
product	p	吃士力架的男人，就是最有力量的男人
brand	p	士力架，做得到[害羞]
product	p	吃士力架的男人，就是最有力量的男人
product	ne	高乐高一杯 面包 士力架 这些热量都不够我支撑一天 我桑心 原来你以为我好胜且坚强...
brand	p	爱上这样的⑼士力架！！！[礼物]
fist	nu	 //@这梦真他妈噩:天空飘来十二个字：天空飘来五个字：士力架在这。。//@韩饭桶: 终于有属于吃货自己的歌了，已被士力架神曲《倍儿饿》洗脑！
product	p	要因为士力架里面有大量坚果仁就把坚果与高热量划等号，其实正确食用坚果是能够帮助你减肥的哦！坚果含有丰富的蛋白质、纤维素和大量的微量元素，并且非常容易有饱腹感。早上10点和下午3点两个能量低点时候食用适量的坚果，既能解决你的饥饿感，又能补充能量，最重要的是，还不会长胖哦！
product	p	吃士力架的男人，就是最有力量的男人
brand	p	二货 来根士力架吧！
product	nu	士力架好吃吗？[lt切克闹]
brand	p	为爱出发，这也离不开士力架的支持
brand	p	在 Family Mart 看到10块钱寿司组合加维他柠檬茶， 马上入手。结帐时服务员告诉我现在加一块五有一根士力架，我似乎想到了什么东西，没想脱口而出： 我要打十个！
brand	p	旁友来块士力架吧
brand	p	饿货 来条士力架吧 
product	p	要因为士力架里面有大量坚果仁就把坚果与高热量划等号，其实正确食用坚果是能够帮助你减肥的哦！坚果含有丰富的蛋白质、纤维素和大量的微量元素，并且非常容易有饱腹感。早上10点和下午3点两个能量低点时候食用适量的坚果，既能解决你的饥饿感，又能补充能量，最重要的是，还不会长胖哦！
brand	p	[偷笑]士力架不火，对不起坚持看完视频的观众的耐心。
fist	p	疯狂de爽起来吧//@卖二手本本找我: 吃士力架的男人，就是最有力量的男人
brand	p	士力架，做得到[害羞]
brand	p	士力架，真的是碉堡了。
fist	nu	[风扇]憨豆先生这是什么拳法？[泪流满面]
fist	nu	[鼓掌]这么说咱们的憨豆先生也是用生命在表演啊
fist	p	兔女郎的憨豆，小编也太恶搞了吧！
fist	ne	一对假憨豆在哪里乱舞。
dance	ne	憨豆先生难道也想加入广场舞的行列吗[失望]
fist	p	话说，憨豆先生要是知道中国有个大张伟不知道是什么反应
fist	p	谁给憨豆先生带上的红色蝴蝶结呀？
fist	p	我还没注意呢，憨豆先生跟江南style都配合起来了。[囧]
fist	p	我怎么不知道这个事情，我可是很喜欢憨豆的
fist	p	大张伟和喜剧之父憨豆先生真的很搞笑。
fist	p	不禁被憨豆先生这样的反差萌惊呆了
fist	p	看到憨豆先生我就想笑，真不愧是喜剧之父
fist	p	好好玩哦，喜欢憨豆先生。
fist	p	[太开心]玩憨豆先生的拳，感觉就是不一样，好玩极了。
fist	p	哈哈，憨豆先生是不是还没见过这样的架势
fist	p	呵呵，能败在憨豆先生的拳下，也是你的幸福呢！
fist	p	大张伟和憨豆都合体啦。
fist	p	憨豆先生的节目我喜欢看[炸鸡和啤酒]
fist	p	第一次见憨豆打游戏呢。
fist	p	看样子，憨豆先生想一统江湖。[太开心]
fist	p	[得意地笑]喜欢憨豆先生，太好玩了，大眼睛。
fist	p	[亲亲]太没节操了，憨豆居然变成游戏中的人物。
fist	p	这拳法看着挺逗的，很符合憨豆先生的节奏呀！
fist funny	p	哈哈哈哈//@小野妹子学吐槽:网友对憨豆先生还真是爱的深沉啊，这种鬼畜的视频做出来竟毫无违和感……//@虐猫狂人薛定谔: 你们这些神经病为什么要给我看这种东西！！哈哈哈哈哈憨豆先生有了迷样的补给也是够了
